freq,Hs,dir
8.2,0,0
0.4,0,0
0,0,0
0,0,0
3,0,22.5
0.2,0,22.5
0,0,22.5
0,0,22.5
1.4,0,45
0.1,0,45
0,0,45
0,0,45
1.6,0,67.5
0.1,0,67.5
0,0,67.5
0,0,67.5
11.9,0,90
0.8,0,90
0,0,90
0,0,90
23.7,0,112.5
2.6,0,112.5
0,0,112.5
0,0,112.5
5.6,0,135
0.5,0,135
0,0,135
0,0,135
3.1,0,157.5
0.3,0,157.5
0,0,157.5
0,0,157.5
4,0,180
0.2,0,180
0,0,180
0,0,180
1.7,0.831944876,202.5
0.1,1.733417119,202.5
0,0,202.5
0,0,202.5
7.4,1.064922165,225
0.7,2.218842093,225
0.1,3.502692654,225
0,0,225
4.2,1.309806685,247.5
0.4,2.729076642,247.5
0.1,4.308155473,247.5
0,0,247.5
6.5,1.401647753,270
0.6,2.920434128,270
0,0,270
0,0,270
1.3,1.305096803,292.5
0.1,2.719263263,292.5
0,0,292.5
0,0,292.5
4.9,1.133108136,315
0.1,2.360912479,315
0,0,315
0,0,315
3.8,0.835800615,337.5
0.2,1.741450827,337.5
0,0,337.5
0,0,337.5
