direction,strength,frequency
N,1-4,0.634103466
NNE,1-4,3.120291311
NE,1-4,13.39988281
ENE,1-4,3.683241252
E,1-4,10.50770132
ESE,1-4,0.562949941
SE,1-4,4.024359618
SSE,1-4,0.487610916
S,1-4,3.551397957
SSW,1-4,0.738741001
SW,1-4,9.162062615
WSW,1-4,0.64665997
W,1-4,2.130420224
WNW,1-4,0.23438808
NW,1-4,1.916959652
NNW,1-4,0.230202578
N,5-8,0.713627993
NNE,5-8,4.855181651
NE,5-8,10.12891344
ENE,5-8,3.130755064
E,5-8,2.561526871
ESE,5-8,0.11719404
SE,5-8,0.334840114
SSE,5-8,0.100452034
S,5-8,1.215888163
SSW,5-8,0.786874268
SW,5-8,12.01657459
WSW,5-8,1.148920141
W,5-8,1.791394609
WNW,5-8,0.016742006
NW,5-8,0.251130085
NNW,5-8,0.089988281
N,9-12,0.100452034
NNE,9-12,0.184162063
NE,9-12,1.102879625
ENE,9-12,0.169512808
E,9-12,0.133936046
ESE,9-12,0.014649255
SE,9-12,0.035576762
SSE,9-12,0
S,9-12,0.167420057
SSW,9-12,0.267872091
SW,9-12,1.207517161
WSW,9-12,0.309727105
W,9-12,0.274150343
WNW,9-12,0
NW,9-12,0.033484011
NNW,9-12,0.033484011
N,13-16,0.033484011
NNE,13-16,0.016742006
NE,13-16,0.083710028
ENE,13-16,0
E,13-16,0.016742006
ESE,13-16,0.014649255
SE,13-16,0.018834756
SSE,13-16,0
S,13-16,0
SSW,13-16,0.031391261
SW,13-16,0.228109828
WSW,13-16,0.182069312
W,13-16,0.043947765
WNW,13-16,0
NW,13-16,0
NNW,13-16,0
